,replacement,config,ipc,instructions,cycles,total_access,total_hit,total_miss,load_access,load_hit,load_miss,rfo_access,rfo_hit,rfo_miss,prefetch_access,prefetch_hit,prefetch_miss,writeback_access,writeback_hit,writeback_miss
152,ship++_leaders_256,config1,0.516409,100000003,193644858,2445955,61041,2384914,1321299,2287,1319012,423300,6647,416653,0,0,0,701356,52107,649249
153,ship++_leaders_256,config2,0.460196,100000000,217298672,1164209,333214,830995,21877,3639,18238,264086,74141,189945,612142,140551,471591,266104,114883,151221
154,ship++_leaders_256,config2,0.725226,100000001,137888096,42522,7235,35287,13577,387,13190,3352,12,3340,17694,466,17228,7899,6370,1529
155,ship++_leaders_256,config2,0.645684,100000001,154874419,5793614,1469477,4324137,416647,17846,398801,2473089,390151,2082938,430772,23295,407477,2473106,1038185,1434921
156,ship++_leaders_256,config2,0.410569,100000000,243564525,157868,133907,23961,71023,61829,9194,11273,5616,5657,50719,41846,8873,24853,24616,237
157,ship++_leaders_256,config2,0.606467,100000003,164889446,5145120,253205,4891915,521316,124812,396504,17,0,17,3246490,51861,3194629,1377297,76532,1300765
158,ship++_leaders_256,config2,1.42236,100000003,70305653,831099,64168,766931,26239,12339,13900,201209,7753,193456,400992,11523,389469,202659,32553,170106
159,ship++_leaders_256,config2,0.676136,100000000,147899200,5490717,1413458,4077259,390243,15267,374976,2345811,416617,1929194,408518,19916,388602,2346145,961658,1384487
160,ship++_leaders_256,config2,0.378831,100000000,263969841,8713943,4777919,3936024,2237004,1099999,1137005,764922,281850,483072,3551532,1637118,1914414,2160485,1758952,401533
161,ship++_leaders_256,config2,1.23604,100000003,80903477,1445923,878819,567104,118907,103396,15511,121983,120812,1171,1076638,526417,550221,128395,128194,201
162,ship++_leaders_256,config2,1.04248,100000000,95924641,1574036,833196,740840,202214,168348,33866,111346,109642,1704,1127322,423980,703342,133154,131226,1928
163,ship++_leaders_256,config2,0.109914,100000002,909800215,21078334,9627658,11450676,9505649,5932925,3572724,164413,59306,105107,9645341,2282953,7362388,1762931,1352474,410457
164,ship++_leaders_256,config2,1.35156,100000002,73988534,631960,280790,351170,36755,19186,17569,152070,75862,76208,287329,88224,199105,155806,97518,58288
165,ship++_leaders_256,config2,0.254922,100000000,392277393,4309290,1423087,2886203,1523326,447823,1075503,250119,94162,155957,1529815,192810,1337005,1006030,688292,317738
166,ship++_leaders_256,config2,0.639862,100000000,156283624,4599425,1100415,3499010,466228,134202,332026,742839,97655,645184,2289864,540487,1749377,1100494,328071,772423
167,ship++_leaders_256,config2,0.609756,100000001,164000147,4812805,543615,4269190,461897,42972,418925,126471,117280,9191,2860146,129120,2731026,1364291,254243,1110048
168,ship++_leaders_256,config2,0.55659,100000003,179665340,4917133,273858,4643275,1164659,60092,1104567,24,24,0,2225752,90739,2135013,1526698,123003,1403695
169,ship++_leaders_256,config2,0.4873,100000001,205212590,4047262,244962,3802300,835835,40055,795780,24,20,4,2170967,103315,2067652,1040436,101572,938864
170,ship++_leaders_256,config2,0.374726,100000001,266861677,4665151,2402138,2263013,2183782,2011569,172213,24954,13138,11816,2376046,317433,2058613,80369,59998,20371
171,ship++_leaders_256,config2,0.499749,100000001,200100273,479229,209238,269991,108315,59434,48881,72099,9684,62415,138953,56085,82868,159862,84035,75827
172,ship++_leaders_256,config2,0.445714,100000000,224359155,13009925,10695425,2314500,5289771,4385312,904459,0,0,0,6807099,5401059,1406040,913055,909054,4001
173,ship++_leaders_256,config2,0.458289,100000003,218202981,3283920,1501410,1782510,1566738,1150555,416183,5220,2447,2773,1695114,338723,1356391,16848,9685,7163
